,Date,Close_GSPC,Receita,CMV,Lucro Bruto,Despesas Operacionais,EBITDA,Lucro Líquido,Margem Bruta,Margem EBITDA,Margem Líquida,Participação de Mercado,Taxa de Retenção de Clientes,CAC,LTV,Taxa de Churn,Número de Funcionários,Receita por Funcionário,Lucro por Funcionário,Investimentos em P&D,Capex,Nível de Inovação,ROI,ROE,Liquidez Corrente,Endividamento,Crescimento de Receita,Crescimento de Lucro Líquido,Crescimento de Número de Funcionários,Ciclo de Conversão de Caixa,Giro de Estoque,Eficiência Operacional
0,2020-09-10,3339.18994140625,4612987.552185279,1847473.6987713564,2765513.8534139227,1206769.2707027167,1558744.582711206,1096364.1838812474,0.5995060299054643,0.3379034877240873,0.23766900982897174,0.08409555732634953,0.8091587635726546,1420.521491625336,4334.892090225847,0.1908412364273454,5000.0,922.5975104370559,219.27283677624948,315294.1471442407,501627.20441741025,0.34228016063706934,1.3420682196461207,1.0671672622534967,0.6859038911330688,456601.68088248436,0.0020655641846676343,-0.21368050275449202,0.0,43,4.178230524153676,3.822592822154876
1,2020-09-11,3340.969970703125,4684865.305841688,1398519.7504466446,3286345.5553950435,1820375.9936054843,1465969.5617895592,1031109.612205105,0.701481332088077,0.31291605330928113,0.22009375828145708,0.11664611776955226,0.860614692228594,823.7447669861054,3362.2403606652824,0.139385307771406,5000.0,936.9730611683376,206.221922441021,250284.76596923015,843002.5693212283,0.3432996289648782,0.9431277386298137,1.1827361988191603,2.9616374227254676,430140.06086501403,0.015581605812562627,-0.05951906550352104,0.0,51,5.777649651545136,2.5735701428157824
2,2020-09-14,3383.5400390625,4723065.270655066,2035502.3752441506,2687562.895410915,802092.821721897,1885470.073689018,1326170.9978019956,0.5690293784650923,0.39920474641831755,0.2807860831485105,0.10641373537498003,0.826334991603158,849.5999517102325,3016.309581368771,0.17366500839684196,5000.0,944.6130541310132,265.23419956039913,450527.1113764452,436073.5257605516,0.36826493295987484,1.495792967264783,1.1476759170754138,1.2635260988100605,548733.2226388425,0.009392502770717792,-0.11591988169353284,0.0,41,4.271513719072299,5.888427302610439
3,2020-09-15,3401.199951171875,4729578.752636944,1884045.129863321,2845533.622773623,1477819.5891404427,1367714.0336331804,962000.2512913244,0.6016463138893956,0.2891830552288871,0.20340083157616687,0.12643040292454452,0.8500401064848155,426.6684959241646,1859.8791905067258,0.14995989351518446,5000.0,945.9157505273888,192.40005025826488,198888.7493425038,553290.1034247166,0.38236550567667105,1.2789514724485855,1.5039479508222582,1.9273786665795904,502242.82932348363,0.0013790793920098743,-0.27460315985966377,0.0,61,7.501027414626572,3.2003762755559704
4,2020-09-16,3385.489990234375,4778059.380375407,2005102.4374253866,2772956.94295002,1082647.5256998797,1690309.4172501403,1188902.0980761829,0.5803521308963205,0.3537648410550592,0.24882530823272694,0.16028191365762057,0.875193910197471,352.47530935031443,1318.3334131690726,0.12480608980252905,5000.0,955.6118760750813,237.78041961523658,67384.98907313592,342070.42983850767,0.3832639042383441,2.903617935345328,1.2385320522173136,1.3949453983762063,295557.54557656177,0.010250517070137022,0.2358646439855714,0.0,85,4.274025245528877,4.413310211268086
5,2020-09-17,3357.010009765625,4730183.444409894,427679.99104047485,4302503.453369419,1335633.8035755013,2966869.649793918,2086788.084690975,0.9095849038273759,0.6272208434749288,0.44116430350225216,0.09803246577652136,0.6786785720141253,1261.4776483958644,4903.90264912404,0.3213214279858747,5000.0,946.0366888819788,417.357616938195,230538.09786006933,607290.9898487712,0.35974559236091763,2.490708564914576,2.507222032068571,3.5182591838329356,552362.4448781246,-0.010019954160082278,0.7552228127679332,0.0,76,6.094676945242401,3.5415271998560973
6,2020-09-18,3319.469970703125,4638576.316717709,1657260.9911041206,2981315.325613589,1333543.7996094862,1647771.5260041028,1158982.4942249393,0.6427220599710192,0.3552321689880222,0.24985737327375562,0.10203965010904498,0.8479814738209106,355.8245590302166,1394.0927247109528,0.1520185261790894,5000.0,927.7152633435419,231.79649884498787,173917.2220303179,483101.3872344732,0.35483059933986794,1.7640025379522348,1.6864265797731541,3.004011273518892,610092.5123851387,-0.019366506345635526,-0.4446093962643223,0.0,63,7.399057917755723,3.4783831757727537
7,2020-09-21,3281.06005859375,4547910.348529083,1635491.0685006222,2912419.2800284605,1386522.4144958446,1525896.865532616,1073260.2956391932,0.6403862558483405,0.33551603892678583,0.23598976527457596,0.10726950017640273,0.7820741234172746,686.2790949757492,2575.365633382053,0.21792587658272544,5000.0,909.5820697058166,214.65205912783864,170119.76581594624,372883.6083942685,0.33969384089208643,1.97652601551551,1.3741485354632483,1.7783370231262903,378851.1459680067,-0.014892357032673553,-0.40576744786081564,0.0,75,4.989312290505438,3.2800842604356704
8,2020-09-22,3315.570068359375,4579261.854133508,812669.8739271885,3766591.9802063196,1758325.3942883748,2008266.5859179448,1412541.5933482926,0.8225325609642468,0.4385568351163772,0.30846490948606714,0.09299384102659267,0.7262877611731559,662.894535919192,3201.2243269096593,0.27371223882684415,5000.0,915.8523708267016,282.50831866965854,213209.68123139915,496740.94138381665,0.35489224841701095,1.9896335721841774,2.02193519605166,2.418171338425841,571495.1586742611,0.006893606778015204,0.31612209925928214,0.0,42,4.873481471591603,2.6043312967033705
9,2020-09-23,3236.919921875,4567982.875913715,2159394.326713628,2408588.549200087,1271498.111038389,1137090.438161698,799788.011494436,0.5272761773911656,0.2489261604191654,0.17508559756464884,0.11832385526845385,0.7790955780801085,833.4190671321272,2552.034044697749,0.22090442191989146,5000.0,913.596575182743,159.9576022988872,270485.58564180677,654942.252442224,0.35191939937045325,0.8642359550694796,0.7959735440757428,0.728530117555755,305694.11916485406,-0.002463055963836669,-0.4337950717623712,0.0,44,4.146099491263301,3.59259902650048
